NR_155113.1	Gibellulopsis chrysanthemi MAFF 242621 ITS region; from TYPE material
NR_155112.1	Gilbertella hainanensis CBS 565.91 ITS region; from TYPE material
NR_155111.1	Gymnoascus dankaliensis NRRL MOLD 1677 ITS region; from TYPE material
NR_155110.1	Glaciozyma litoralis ITS region; from TYPE material
NR_155109.1	Gelasinospora saitoi CBS 435.74 ITS region; from TYPE material
NR_155108.1	Graphium fimbriasporum CMW 5605 ITS region; from TYPE material
NR_155107.1	Graphium scolytodis CCF 3566 ITS region; from TYPE material
NR_155106.1	Grosmannia olivacea CBS 138.51 ITS region; from TYPE material
NR_155105.1	Gymnascella littoralis CBS 454.73 ITS region; from TYPE material
NR_155102.1	Foliocryphia eucalyptorum ITS region; from TYPE material
NR_155101.1	Entoloma subcaesiocinctum SAAS 133 ITS region; from TYPE material
NR_155100.1	Elsinoe preissianae CPC 29787 ITS region; from TYPE material
NR_155099.1	Elsinoe eucalyptigena CPC 29529 ITS region; from TYPE material
NR_155098.1	Erythrobasidium yunnanense CBS 8906 ITS region; from TYPE material
NR_155097.1	Eremothecium coryli CBS 2608 ITS region; from TYPE material
NR_155096.1	Fusicolla melogrammae CBS 141092 ITS region; from TYPE material
NR_155095.1	Elsinoe protearum CBS 113618 ITS region; from TYPE material
NR_155094.1	Elsinoe eelemani DAR 83016 ITS region; from TYPE material
NR_155093.1	Fusicladium paraamoenum ITS region; from TYPE material
NR_155092.1	Entoloma salicetense LIP 0001118 ITS region; from TYPE material
NR_155091.1	Exserohilum gedarefense CBS 297.80 ITS region; from TYPE material
NR_155090.1	Epidermophyton floccosum var. floccosum CBS 230.76 ITS region; from TYPE material
NR_155089.1	Fonsecaea pugnacius CBS 139214 ITS region; from TYPE material
NR_155088.1	Endoraecium tierneyi BRIP 27071 ITS region; from TYPE material
NR_155087.1	Escovopsis kreiselii CBS 139320 ITS region; from TYPE material
NR_155086.1	Fomitiporia expansa MUCL 55026 ITS region; from TYPE material
NR_155085.1	Escovopsis weberi ATCC 64542 ITS region; from TYPE material
NR_155084.1	Endoconidiophora polonica CBS 133.38 ITS region; from TYPE material
NR_155083.1	Escovopsis lentecrescens DOA 628 ITS region; from TYPE material
NR_155082.1	Fissuroma aggregata MFLUCC 10-0554 ITS region; from TYPE material
NR_155081.1	Eremothecium sinecaudum ATCC 58844 ITS region; from TYPE material
NR_155080.1	Elsinoe eucalyptorum CBS 120084 ITS region; from TYPE material
NR_155079.1	Friedmanniomyces simplex CBS 116775 ITS region; from TYPE material
NR_155078.1	Elsinoe banksiae STE-U 2678 ITS region; from TYPE material
NR_155064.1	Dothiora cactacearum ITS region; from TYPE material
NR_155063.1	Disculoides corymbiae CPC 28864 ITS region; from TYPE material
NR_155062.1	Dioszegia crocea CBS 6714 ITS region; from TYPE material
NR_155061.1	Dioszegia catarinonii CBS 10051 ITS region; from TYPE material
NR_155060.1	Dioszegia aurantiaca CBS 6980 ITS region; from TYPE material
NR_155059.1	Dothiora buxi MFLU 15-3404 ITS region; from TYPE material
NR_155058.1	Dothiora viburnicola CBS 274.72 ITS region; from TYPE material
NR_155057.1	Dothiora phillyreae CBS 473.69 ITS region; from TYPE material
NR_155056.1	Dothiora bupleuricola CBS 112.75 ITS region; from TYPE material
NR_155055.1	Dothiora agapanthi CPC 20600 ITS region; from TYPE material
NR_155054.1	Diaporthe rostrata CFCC 50062 ITS region; from TYPE material
NR_155053.1	Dothiorella symphoricarposicola MFLUCC 13-0497 ITS region; from TYPE material
NR_155052.1	Dothiorella vinea-gemmae DAR 81012 ITS region; from TYPE material
NR_155051.1	Dothiorella neclivorem DAR 80992 ITS region; from TYPE material
NR_155050.1	Dothiora ceratoniae CBS 477.69 ITS region; from TYPE material
NR_155049.1	Dactylella tenuifusaria CBS 617.95 ITS region; from TYPE material
NR_155048.1	Dactylella mammillata CBS 229.54 ITS region; from TYPE material
NR_155047.1	Diplogelasinospora inaequalis CBS 436.74 ITS region; from TYPE material
NR_155046.1	Drechmeria zeospora CBS 335.80 ITS region; from TYPE material
NR_155045.1	Drechmeria campanulata IMI 356051 ITS region; from TYPE material
NR_155044.1	Drechmeria balanoides CBS 250.82 ITS region; from TYPE material
NR_155043.1	Dothiora rhamni-alpinae CBS 745.71 ITS region; from TYPE material
